trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,num_distr,fixation.started,target.started,mouse.started,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,
99,0,99,0,,167.38530520023778,167.38530520023778,0.0007719998247921467,[-0.14722222222222223],[0.3972222222222222],[1],[0],[0],[0.794493000023067],['target'],795087,001,2023-09-30_19h21.00.078,visual search,2023.1.3,60.017164900125174,
100,0,100,0,,168.18544920021668,168.18544920021668,0.001101899892091751,[0.2722222222222222],[0.06296296296296296],[1],[0],[0],[1.4604258001782],['target'],795087,001,2023-09-30_19h21.00.078,visual search,2023.1.3,60.017164900125174,
101,0,101,0,,169.65210109995678,169.65210109995678,0.0010351999662816525,[-0.17777777777777778],[-0.14166666666666666],[1],[0],[0],[1.6088686999864876],['target'],795087,001,2023-09-30_19h21.00.078,visual search,2023.1.3,60.017164900125174,
102,0,102,0,,171.26881359983236,171.26881359983236,0.0008050999604165554,[-0.22685185185185186],[-0.29907407407407405],[1],[0],[0],[1.0473648998886347],['target'],795087,001,2023-09-30_19h21.00.078,visual search,2023.1.3,60.017164900125174,
103,0,103,0,,172.31840500002727,172.31840500002727,0.0009842999279499054,[0.0962962962962963],[0.21851851851851853],[1],[0],[0],[0.9598976001143456],['target'],795087,001,2023-09-30_19h21.00.078,visual search,2023.1.3,60.017164900125174,
104,0,104,0,,173.2854094002396,173.2854094002396,0.001494700089097023,[0.4703703703703704],[-0.027777777777777776],[1],[0],[0],[1.2097388999536633],['target'],795087,001,2023-09-30_19h21.00.078,visual search,2023.1.3,60.017164900125174,
105,0,105,0,,174.50219540018588,174.50219540018588,0.0006862999871373177,[-0.16111111111111112],[0.38425925925925924],[1],[0],[0],[1.678878900129348],['target'],795087,001,2023-09-30_19h21.00.078,visual search,2023.1.3,60.017164900125174,
106,0,106,0,,176.1854455000721,176.1854455000721,0.001133199781179428,[0.3990740740740741],[-0.3055555555555556],[1],[0],[0],[1.0787172000855207],['target'],795087,001,2023-09-30_19h21.00.078,visual search,2023.1.3,60.017164900125174,
107,0,107,0,,177.2687626001425,177.2687626001425,0.0011439998634159565,[0.11481481481481481],[0.37962962962962965],[1],[0],[0],[1.493859300389886],['target'],795087,001,2023-09-30_19h21.00.078,visual search,2023.1.3,60.017164900125174,
108,0,108,0,,178.76865820027888,178.76865820027888,0.0009568999521434307,[-0.1],[-0.2824074074074074],[1],[0],[0],[1.179243499878794],['target'],795087,001,2023-09-30_19h21.00.078,visual search,2023.1.3,60.017164900125174,
109,0,109,0,,179.9519179002382,179.9519179002382,0.000919900368899107,[0.13703703703703704],[-0.2740740740740741],[1],[0],[0],[0.8473981996066868],['target'],795087,001,2023-09-30_19h21.00.078,visual search,2023.1.3,60.017164900125174,
110,0,110,0,,180.80222700024024,180.80222700024024,0.0008336999453604221,[0.34444444444444444],[-0.25833333333333336],[1],[0],[0],[1.5420568999834359],['target'],795087,001,2023-09-30_19h21.00.078,visual search,2023.1.3,60.017164900125174,
111,0,111,0,,182.35210790019482,182.35210790019482,0.0011045001447200775,[0.36018518518518516],[-0.47129629629629627],[1],[0],[0],[1.26237089978531],['target'],795087,001,2023-09-30_19h21.00.078,visual search,2023.1.3,60.017164900125174,
112,0,112,0,,183.6187956999056,183.6187956999056,0.001085599884390831,[0.4046296296296296],[-0.20833333333333334],[1],[0],[0],[0.8770053000189364],['target'],795087,001,2023-09-30_19h21.00.078,visual search,2023.1.3,60.017164900125174,
113,0,113,0,,184.50213189981878,184.50213189981878,0.0007581999525427818,[0.3398148148148148],[0.47685185185185186],[1],[0],[0],[1.1801283997483552],['target'],795087,001,2023-09-30_19h21.00.078,visual search,2023.1.3,60.017164900125174,
114,0,114,0,,185.68544920021668,185.68544920021668,0.0011742003262043,[0.05555555555555555],[0.24074074074074073],[1],[0],[0],[0.9785481998696923],['target'],795087,001,2023-09-30_19h21.00.078,visual search,2023.1.3,60.017164900125174,
115,0,115,0,,186.66874139988795,186.66874139988795,0.0007156003266572952,[0.024074074074074074],[-0.20092592592592592],[1],[0],[0],[1.194230199791491],['target'],795087,001,2023-09-30_19h21.00.078,visual search,2023.1.3,60.017164900125174,
116,0,116,0,,187.86874279985204,187.86874279985204,0.0009345998987555504,[0.35185185185185186],[-0.41388888888888886],[1],[0],[0],[1.479354000184685],['target'],795087,001,2023-09-30_19h21.00.078,visual search,2023.1.3,60.017164900125174,
117,0,117,0,,189.35193410003558,189.35193410003558,0.0010146996937692165,"[0.17962962962962964, 0.023148148148148147, -0.003703703703703704, -0.026851851851851852, -0.05092592592592592, 0.04351851851851852, 0.10277777777777777, -0.06296296296296296, 0.48518518518518516, 0.8657407407407407, 0.887962962962963, 0.8703703703703703, 0.19074074074074074, -0.30648148148148147, -0.6037037037037037, -0.7166666666666667, -0.8888888888888888, -0.8888888888888888, -0.8888888888888888, -0.8601851851851852, -0.05092592592592592, 0.2101851851851852, 0.7222222222222222, 0.887962962962963, 0.8861111111111111, -0.014814814814814815, 0.028703703703703703, 0.028703703703703703, -0.018518518518518517]","[-0.04722222222222222, 0.013888888888888888, 0.04814814814814815, 0.012962962962962963, 0.013888888888888888, -0.022222222222222223, 0.07037037037037037, 0.05277777777777778, -0.16944444444444445, -0.13055555555555556, 0.06296296296296296, 0.5, 0.43703703703703706, 0.5, 0.49166666666666664, 0.47685185185185186, 0.3, -0.075, -0.3055555555555556, -0.49907407407407406, -0.49907407407407406, -0.49907407407407406, -0.49722222222222223, -0.43425925925925923, -0.42407407407407405, -0.49907407407407406, 0.16203703703703703, 0.16203703703703703, 0.000925925925925926]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[7.76064240001142, 8.510360799729824, 8.996065199840814, 9.360342899803072, 9.91145440004766, 10.359481600113213, 10.729447999969125, 11.061268699821085, 11.442931300029159, 11.946149699855596, 12.312329799868166, 12.992806800175458, 13.476791799999774, 13.793858199846, 14.094113499857485, 14.4270264999941, 14.744529199786484, 15.077411400154233, 15.363175999838859, 15.678567199967802, 16.010463799815625, 16.32774729980156, 16.562350200023502, 16.81032759975642, 17.077742400113493, 17.362662400119007, 17.694098699837923, 17.959599500056356, 18.44350629998371]",['target'],795087,001,2023-09-30_19h21.00.078,visual search,2023.1.3,60.017164900125174,
118,0,118,0,,207.80207280023023,207.80207280023023,0.0010400000028312206,"[-0.018518518518518517, -0.38055555555555554]","[0.000925925925925926, -0.4111111111111111]","[1, 1]","[0, 0]","[0, 0]","[0.2275753002613783, 1.4114143000915647]",['target'],795087,001,2023-09-30_19h21.00.078,visual search,2023.1.3,60.017164900125174,
